codigo_reserva;fecha_reserva;fecha_inicio;fecha_fin;estado_reserva;run_reservante;nombre_reservante;es_socio;lugar_nombre;sucursal_nombre;monto_total;monto_pagado;medio_pago;fecha_pago
RES-000001;17-04-25;17-04-25;23-04-25;ejecutada;21099442-4;Luis Contreras;NO;Cabaa 14;Santa Cruz;720000;720000;transferencia;15-04-25
RES-000002;19-12-25;19-12-25;26-12-25;cancelada;7812836-4;Pedro Rojas;SI;Cabaa 12;Santa Cruz;840000;0;;16-12-25
RES-000003;15-05-25;15-05-25;15-05-25 14:00;reservada;20408365-7;Maria Gonzalez;SI;Restaurant 2 X;Providencia;30000;0;;14-05-25
RES-000004;06-12-25;06-12-25;07-12-25;reservada;9269949-8;Ana Silva;SI;Cabaa 7;Santiago Centro;120000;0;;06-12-25
RES-000005;04-07-25;04-07-25 13:00;04-07-25 14:00;ejecutada;20112516-2;Luis Contreras;NO;Salon Eventos 1;Santiago Centro;100000;100000;efectivo;30-06-25
RES-000006;04-06-25;15-06-25;09-06-25;cancelada;12809545-4;Juan Perez;NO;Cabaa 4;Santiago Centro;600000;0;;31-05-25
RES-000007;11-05-25;11-05-25 18:00;11-05-25 19:00;reservada;17503226-6;Juan Perez;SI;Cancha Futbolito Techada;La Florida;35000;0;;08-05-25
RES-000008;20-08-25;20-08-25;22-08-25;reservada;17606228-2;Juan Perez;NO;Cabaa 2;La Florida;240000;0;;18-08-25
RES-000009;10-01-25;10-01-25;19-01-25;reservada;23311403-0;Ana;NO;Cabaa 9;Providencia;1080000;0;;05-01-25
RES-000010;19-08-25;19-08-25;22-08-25;ejecutada;13015768-8;Pedro Rojas;NO;Cabaa 1;Santiago Centro;360000;360000;transferencia;18-08-25
RES-000011;05-04-25;05-04-25 14:00;05-04-25 15:00;reservada;18154120-2;Maria Gonzalez;SI;Salon Eventos 2;La Florida;100000;0;;03-04-25
RES-000012;19-03-25;19-03-25 13:00;19-03-25 14:00;ejecutada;8805000-2;Maria Gonzalez;NO;Cancha Padel Aire Libre;La Florida;25000;25000;transferencia;14-03-25
RES-000013;03-03-25;03-03-25 17:00;03-03-25 18:00;ejecutada;5854603-8;Luis Contreras;SI;Salon Eventos 4;La Florida;100000;100000;tarjeta;01-03-25
RES-000014;07-05-25;07-05-25;12-05-25;ejecutada;12075076-3;Juan Perez;SI;Cabaa 7;Santa Cruz;600000;600000;tarjeta;03-05-25
RES-000015;12-09-25;12-09-25;19-09-25;ejecutada;21296743-2;Pedro Rojas;NO;Cabaa 16;Providencia;840000;840000;transferencia;12-09-25
RES-000016;17-06-25;17-06-25 11:00;17-06-25 12:00;ejecutada;5854603-8;Luis Contreras;SI;Salon Eventos 2;Santiago Centro;100000;100000;tarjeta;14-06-25
RES-000017;01-08-25;01-08-25;03-08-25;ejecutada;21349217-9;Luis Contreras;NO;Cabaa 2;Santa Cruz;240000;240000;transferencia;30-07-25
RES-000018;16-06-25;16-06-25;26-06-25;ejecutada;20713143-1;Luis Contreras;NO;Cabaa 1;Providencia;1200000;1200000;transferencia;12-06-25
RES-000019;04-12-25;04-12-25;10-12-25;cancelada;21099442-4;Luis Contreras;SI;Cabaa 2;Providencia;720000;0;;01-12-25
RES-000020;04-02-25;04-02-25;14-02-25;reservada;6946141-7;Ana Silva;NO;Cabaa 1;Santa Cruz;1200000;0;;02-02-25
RES-000021;15-03-25;15-03-25 17:00;15-03-25 18:00;cancelada;24967582-2;Maria Gonzalez;SI;Salon Eventos 3 X;Santa Cruz;100000;0;;12-03-25
RES-000022;04-01-25;04-01-25 22:00;04-01-25 23:00;reservada;16968310-7;Luis Contreras;NO;Piscina 1;Providencia;20000;0;;02-01-25
RES-000023;13-12-25;13-12-25;21-12-25;ejecutada;21178138-6;Ana Silva;SI;Cabaa 2;La Florida;960000;960000;efectivo;13-12-25
RES-000024;17-08-25;17-08-25;20-08-25;ejecutada;5643136-5;Juan Perez;NO;Cabaa 17;Providencia;360000;360000;efectivo;14-08-25
RES-000025;01-12-25;01-12-25;05-12-25;reservada;18468277-K;Luis Contreras;NO;Cabaa 7;Santa Cruz;480000;0;;29-11-25
RES-000026;07-07-25;07-07-25 18:00;07-07-25 19:00;ejecutada;15795747-3;Ana Silva;NO;Cancha Futbolito Aire Libre;La Florida;25000;25000;efectivo;04-07-25
RES-000027;01-09-25;01-09-25 17:00;01-09-25 18:00;reservada;14582283-1;Luis Contreras;SI;Salon Eventos 1;Santa Cruz;100000;0;efectivo;30-08-25
RES-000028;14-08-25;14-08-25;24-08-25;cancelada;16479158-0;Pedro Rojas;NO;Cabaa 10;La Florida;1200000;0;;13-08-25
RES-000029;19-06-25;19-06-25 19:00;19-06-25 20:00;cancelada;18053720-9;Ana Silva;SI;Cancha Basquetbol Aire Libre;Santa Cruz;25000;0;;16-06-25
RES-000030;02-01-25;02-01-25;09-01-25;reservada;24859483-7;Luis Contreras;SI;Cabaa 16;La Florida;840000;0;;30-12-24
RES-000031;11-12-25;11-12-25 22:00;11-12-25 23:00;ejecutada;19104958-6;Pedro;NO;Cancha Basquetbol Aire Libre;Santa Cruz;25000;25000;tarjeta;09-12-25
RES-000032;02-03-25;02-03-25;08-03-25;ejecutada;13224751-K;Luis Contreras;SI;Cabaa 4;Providencia;720000;720000;efectivo;26-02-25
RES-000033;01-12-25;01-12-25;11-12-25;cancelada;16479158-0;Pedro Rojas;SI;Cabaa 18 X;La Florida;1200000;0;;26-11-25
RES-000034;12-05-25;12-05-25;19-05-25;reservada;7686256-7;Luis Contreras;NO;Cabaa 10;Santa Cruz;840000;0;;11-05-25
RES-000035;16-06-25;16-06-25 09:00;16-06-25 10:00;ejecutada;20713143-1;Luis Contreras;NO;Salon Eventos 1;Providencia;100000;100000;transferencia;11-06-25
RES-000036;12-04-25;12-04-25;21-04-25;ejecutada;17263289-0;Juan Perez;NO;Cabaa 1;Providencia;1080000;1080000;efectivo;10-04-25
RES-000037;02-02-25;02-02-25 17:00;02-02-25 18:00;reservada;22156789-7;Luis;NO;Restaurant 1;Providencia;30000;0;;29-01-25
RES-000038;14-12-25;14-12-25;23-12-25;reservada;15838325-K;Maria Gonzalez;SI;Cabaa 6;La Florida;1080000;0;;09-12-25
RES-000039;11-06-25;11-06-25;12-06-25;ejecutada;21743846-2;Pedro Rojas;SI;Cabaa 19;Santiago Centro;120000;120000;transferencia;09-06-25
